,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Allen Robinson,PIT,4,1,25.00%,-1,0,9.5%,3,1,33.33%,-1,0,16.7%,All Allen Robinson red zone receiving plays,RobiAl02
Devin Singletary,HOU,4,3,75.00%,15,0,5.9%,2,1,50.00%,4,0,5.6%,All Devin Singletary red zone receiving plays,SingDe00
Darius Slayton,NYG,4,2,50.00%,28,1,12.1%,0,0,,0,0,.0%,All Darius Slayton red zone receiving plays,SlayDa01
Durham Smythe,MIA,4,2,50.00%,14,0,6.0%,3,1,33.33%,7,0,6.8%,All Durham Smythe red zone receiving plays,SmytDu00
Rhamondre Stevenson,NWE,4,3,75.00%,25,0,11.1%,0,0,,0,0,.0%,All Rhamondre Stevenson red zone receiving plays,StevRh00
Brenton Strange,JAX,4,3,75.00%,28,1,6.3%,3,2,66.67%,11,1,10.0%,All Brenton Strange red zone receiving plays,StraBr00
D'Andre Swift,PHI,4,4,100.00%,16,1,8.2%,1,1,100.00%,9,1,5.9%,All D'Andre Swift red zone receiving plays,SwifDA00
Jonathan Taylor,IND,4,3,75.00%,18,1,6.8%,3,2,66.67%,12,1,12.0%,All Jonathan Taylor red zone receiving plays,TaylJo02
Deven Thompkins,TAM,4,2,50.00%,10,1,6.8%,1,1,100.00%,5,1,3.4%,All Deven Thompkins red zone receiving plays,ThomDe07
Jalen Tolbert,DAL,4,3,75.00%,8,2,3.8%,2,2,100.00%,10,2,3.9%,All Jalen Tolbert red zone receiving plays,TolbJa00
Tommy Tremble,CAR,4,4,100.00%,6,3,11.1%,3,3,100.00%,6,3,13.6%,All Tommy Tremble red zone receiving plays,TremTo00
Cole Turner,WAS,4,2,50.00%,17,0,6.3%,3,1,33.33%,5,0,8.6%,All Cole Turner red zone receiving plays,TurnCo00
C.J. Uzomah,NYJ,4,2,50.00%,6,1,8.2%,2,1,50.00%,1,1,6.5%,All C.J. Uzomah red zone receiving plays,UzomC.00
Darren Waller,NYG,4,3,75.00%,31,1,12.1%,1,0,0.00%,0,0,8.3%,All Darren Waller red zone receiving plays,WallDa01
Ameer Abdullah,LVR,3,2,66.67%,8,0,4.2%,2,1,50.00%,1,0,5.7%,All Ameer Abdullah red zone receiving plays,AbduAm00
Mo Alie-Cox,IND,3,2,66.67%,20,2,5.1%,1,1,100.00%,2,1,4.0%,All Mo Alie-Cox red zone receiving plays,AlieMo00
John Bates,WAS,3,1,33.33%,0,0,4.7%,3,1,33.33%,0,0,8.6%,All John Bates red zone receiving plays,BateJo00
Rashod Bateman,BAL,3,1,33.33%,10,1,4.7%,3,1,33.33%,10,1,9.7%,All Rashod Bateman red zone receiving plays,BateRa00
Ronnie Bell,SFO,3,3,100.00%,26,3,4.3%,2,2,100.00%,14,2,7.7%,All Ronnie Bell red zone receiving plays,BellRo01
Ty Chandler,MIN,3,3,100.00%,22,0,3.8%,2,2,100.00%,6,0,4.3%,All Ty Chandler red zone receiving plays,ChanTy01
Greg Dortch,ARI,3,2,66.67%,11,1,5.2%,2,1,50.00%,6,1,7.7%,All Greg Dortch red zone receiving plays,DortGr01
Tyler Goodson,IND,3,1,33.33%,7,0,5.1%,1,1,100.00%,7,0,4.0%,All Tyler Goodson red zone receiving plays,GoodTy00
Noah Gray,KAN,3,1,33.33%,2,1,3.4%,2,1,50.00%,2,1,4.2%,All Noah Gray red zone receiving plays,GrayNo00
Jalen Guyton,LAC,3,2,66.67%,26,1,4.1%,1,0,0.00%,0,0,2.3%,All Jalen Guyton red zone receiving plays,GuytJa01
Najee Harris,PIT,3,3,100.00%,13,0,7.1%,2,2,100.00%,7,0,11.1%,All Najee Harris red zone receiving plays,HarrNa00
Darrell Henderson,LAR,3,2,66.67%,8,0,4.1%,3,2,66.67%,8,0,7.3%,All Darrell Henderson red zone receiving plays,HendDa00
Connor Heyward,PIT,3,2,66.67%,11,0,7.1%,1,1,100.00%,0,0,5.6%,All Connor Heyward red zone receiving plays,HeywCo00
Austin Hooper,LVR,3,3,100.00%,15,0,4.2%,1,1,100.00%,5,0,2.9%,All Austin Hooper red zone receiving plays,HoopAu00
Tanner Hudson,CIN,3,3,100.00%,25,1,4.1%,0,0,,0,0,.0%,All Tanner Hudson red zone receiving plays,HudsTa00
Hayden Hurst,CAR,3,1,33.33%,4,1,8.3%,3,1,33.33%,4,1,13.6%,All Hayden Hurst red zone receiving plays,HursHa00
Keith Kirkwood,NOR,3,1,33.33%,7,1,4.6%,2,1,50.00%,7,1,6.1%,All Keith Kirkwood red zone receiving plays,KirkKe00
Bo Melton,GNB,3,1,33.33%,9,1,3.3%,2,1,50.00%,9,1,5.4%,All Bo Melton red zone receiving plays,MeltBo00
John Metchie,HOU,3,0,0.00%,0,0,4.4%,3,0,0.00%,0,0,8.3%,All John Metchie red zone receiving plays,MetcJo00
Scott Miller,ATL,3,3,100.00%,14,2,5.6%,2,2,100.00%,10,2,7.1%,All Scott Miller red zone receiving plays,MillSc01
Jonathan Mingo,CAR,3,0,0.00%,0,0,8.3%,2,0,0.00%,0,0,9.1%,All Jonathan Mingo red zone receiving plays,MingJo00
Latavius Murray,BUF,3,3,100.00%,10,0,4.8%,2,2,100.00%,4,0,7.4%,All Latavius Murray red zone receiving plays,MurrLa00
Trey Palmer,TAM,3,2,66.67%,8,2,5.1%,2,2,100.00%,8,2,6.9%,All Trey Palmer red zone receiving plays,PalmTr00
Zach Pascal,ARI,3,1,33.33%,-4,0,5.2%,1,0,0.00%,0,0,3.8%,All Zach Pascal red zone receiving plays,PascZa00
MyCole Pruitt,ATL,3,0,0.00%,0,0,5.6%,2,0,0.00%,0,0,7.1%,All MyCole Pruitt red zone receiving plays,PruiMy00
Hunter Renfrow,LVR,3,3,100.00%,21,0,4.2%,0,0,,0,0,.0%,All Hunter Renfrow red zone receiving plays,RenfHu00
Patrick Ricard,BAL,3,2,66.67%,7,1,4.7%,2,1,50.00%,4,1,6.5%,All Patrick Ricard red zone receiving plays,RicaPa00
Drew Sample,CIN,3,3,100.00%,23,1,4.1%,0,0,,0,0,.0%,All Drew Sample red zone receiving plays,SampDr00
Patrick Taylor,GNB,3,2,66.67%,-4,0,3.3%,0,0,,0,0,.0%,All Patrick Taylor red zone receiving plays,TaylPa01
Tre Tucker,LVR,3,2,66.67%,0,0,4.2%,1,0,0.00%,0,0,2.9%,All Tre Tucker red zone receiving plays,TuckTr00
Marquez Valdes-Scantling,KAN,3,1,33.33%,-1,0,3.4%,1,0,0.00%,0,0,2.1%,All Marquez Valdes-Scantling red zone receiving plays,ValdMa00
Kenneth Walker,SEA,3,2,66.67%,-4,0,4.6%,0,0,,0,0,.0%,All Kenneth Walker red zone receiving plays,WalkKe00
Parker Washington,JAX,3,3,100.00%,34,2,4.8%,1,1,100.00%,1,0,3.3%,All Parker Washington red zone receiving plays,WashPa01
Quez Watkins,PHI,3,3,100.00%,20,1,6.1%,0,0,,0,0,.0%,All Quez Watkins red zone receiving plays,WatkQu00
Javonte Williams,DEN,3,3,100.00%,7,2,4.6%,3,3,100.00%,7,2,8.6%,All Javonte Williams red zone receiving plays,WillJa10
Olamide Zaccheaus,PHI,3,0,0.00%,0,0,6.1%,1,0,0.00%,0,0,5.9%,All Olamide Zaccheaus red zone receiving plays,ZaccOl01
Jamal Agnew,JAX,2,1,50.00%,14,0,3.2%,1,0,0.00%,0,0,3.3%,All Jamal Agnew red zone receiving plays,AgneJa00
Cam Akers,MIN,2,1,50.00%,-3,0,2.5%,0,0,,0,0,.0%,All Cam Akers red zone receiving plays,AkerCa00
Davis Allen,LAR,2,2,100.00%,13,1,2.7%,1,1,100.00%,7,1,2.4%,All Davis Allen red zone receiving plays,AlleDa02
Tyler Allgeier,ATL,2,1,50.00%,0,0,3.7%,0,0,,0,0,.0%,All Tyler Allgeier red zone receiving plays,AllgTy00
David Bell,CLE,2,0,0.00%,0,0,3.1%,1,0,0.00%,0,0,3.4%,All David Bell red zone receiving plays,BellDa02
Dyami Brown,WAS,2,1,50.00%,0,0,3.1%,2,1,50.00%,0,0,5.7%,All Dyami Brown red zone receiving plays,BrowDy00
Jason Brownlee,NYJ,2,1,50.00%,8,1,4.1%,2,1,50.00%,8,1,6.5%,All Jason Brownlee red zone receiving plays,BrowJa07
Lawrence Cager,NYG,2,1,50.00%,10,1,6.1%,1,1,100.00%,10,1,8.3%,All Lawrence Cager red zone receiving plays,CageLa01
Will Dissly,SEA,2,1,50.00%,19,1,3.1%,0,0,,0,0,.0%,All Will Dissly red zone receiving plays,DissWi00
Keelan Doss,LAC,2,0,0.00%,0,0,2.7%,1,0,0.00%,0,0,2.3%,All Keelan Doss red zone receiving plays,DossKe00
Alex Erickson,LAC,2,2,100.00%,22,1,2.7%,0,0,,0,0,.0%,All Alex Erickson red zone receiving plays,EricAl01
Travis Etienne,JAX,2,2,100.00%,6,0,3.2%,0,0,,0,0,.0%,All Travis Etienne red zone receiving plays,EtieTr00
Darrynton Evans,CHI,2,1,50.00%,8,0,3.6%,0,0,,0,0,.0%,All Darrynton Evans red zone receiving plays,EvanDa02
Noah Fant,SEA,2,1,50.00%,12,0,3.1%,0,0,,0,0,.0%,All Noah Fant red zone receiving plays,FantNo00
D'Onta Foreman,CHI,2,2,100.00%,14,1,3.6%,1,1,100.00%,5,1,3.8%,All D'Onta Foreman red zone receiving plays,ForeDO00
Mecole Hardman,KAN,2,1,50.00%,6,0,2.3%,0,0,,0,0,.0%,All Mecole Hardman red zone receiving plays,HardMe00
Deonte Harty,BUF,2,2,100.00%,-1,1,3.2%,1,1,100.00%,3,1,3.7%,All Deonte Harty red zone receiving plays,HarrDe07
Peyton Hendershot,DAL,2,0,0.00%,0,0,1.9%,1,0,0.00%,0,0,2.0%,All Peyton Hendershot red zone receiving plays,HendPe01
Derrick Henry,TEN,2,1,50.00%,4,0,4.3%,1,0,0.00%,0,0,4.3%,All Derrick Henry red zone receiving plays,HenrDe00
Elijah Higgins,ARI,2,2,100.00%,12,1,3.4%,1,1,100.00%,8,1,3.8%,All Elijah Higgins red zone receiving plays,HiggEl00
Mack Hollins,ATL,2,1,50.00%,7,0,3.7%,0,0,,0,0,.0%,All Mack Hollins red zone receiving plays,HollMa00
Alec Ingold,MIA,2,2,100.00%,7,0,3.0%,0,0,,0,0,.0%,All Alec Ingold red zone receiving plays,IngoAl01
Trishton Jackson,MIN,2,0,0.00%,0,0,2.5%,0,0,,0,0,.0%,All Trishton Jackson red zone receiving plays,JackTr02
Jauan Jennings,SFO,2,1,50.00%,18,1,2.9%,1,0,0.00%,0,0,3.8%,All Jauan Jennings red zone receiving plays,JennJa00
Ty Johnson,BUF,2,2,100.00%,8,0,3.2%,0,0,,0,0,.0%,All Ty Johnson red zone receiving plays,JohnTy02
Marvin Jones,DET,2,1,50.00%,3,0,3.1%,0,0,,0,0,.0%,All Marvin Jones red zone receiving plays,JoneMa02
Brevin Jordan,HOU,2,2,100.00%,16,2,2.9%,1,1,100.00%,4,1,2.8%,All Brevin Jordan red zone receiving plays,JordBr00
Ko Kieft,TAM,2,1,50.00%,2,1,3.4%,1,1,100.00%,2,1,3.4%,All Ko Kieft red zone receiving plays,KiefKo00
Charlie Kolar,BAL,2,2,100.00%,34,1,3.1%,0,0,,0,0,.0%,All Charlie Kolar red zone receiving plays,KolaCh00
Lucas Krull,DEN,2,1,50.00%,3,1,3.1%,2,1,50.00%,3,1,5.7%,All Lucas Krull red zone receiving plays,KrulLu00
Allen Lazard,NYJ,2,1,50.00%,10,1,4.1%,2,1,50.00%,10,1,6.5%,All Allen Lazard red zone receiving plays,LazaAl00
Marcedes Lewis,CHI,2,2,100.00%,17,1,3.6%,1,1,100.00%,1,1,3.8%,All Marcedes Lewis red zone receiving plays,LewiMa00
Terrace Marshall,CAR,2,1,50.00%,9,0,5.6%,1,0,0.00%,0,0,4.5%,All Terrace Marshall red zone receiving plays,MarsTe00
Anthony McFarland,PIT,2,2,100.00%,11,0,4.8%,0,0,,0,0,.0%,All Anthony McFarland red zone receiving plays,McFaAn00
D.J. Montgomery,IND,2,1,50.00%,14,1,3.4%,1,0,0.00%,0,0,4.0%,All D.J. Montgomery red zone receiving plays,MontDJ01
Quintin Morris,BUF,2,1,50.00%,15,1,3.2%,0,0,,0,0,.0%,All Quintin Morris red zone receiving plays,MorrQu00
Andrew Ogletree,IND,2,1,50.00%,5,1,3.4%,2,1,50.00%,5,1,8.0%,All Andrew Ogletree red zone receiving plays,OgleAn00
Cordarrelle Patterson,ATL,2,1,50.00%,2,1,3.7%,1,1,100.00%,2,1,3.6%,All Cordarrelle Patterson red zone receiving plays,PattCo00
Samaje Perine,DEN,2,2,100.00%,12,0,3.1%,1,1,100.00%,5,0,2.9%,All Samaje Perine red zone receiving plays,PeriSa00
Wan'Dale Robinson,NYG,2,2,100.00%,11,1,6.1%,1,1,100.00%,9,1,8.3%,All Wan'Dale Robinson red zone receiving plays,RobiWa01
Miles Sanders,CAR,2,2,100.00%,4,0,5.6%,0,0,,0,0,.0%,All Miles Sanders red zone receiving plays,SandMi01
Khalil Shakir,BUF,2,2,100.00%,12,1,3.2%,1,1,100.00%,1,0,3.7%,All Khalil Shakir red zone receiving plays,ShakKh00
Trent Sherfield,BUF,2,1,50.00%,6,1,3.2%,1,1,100.00%,6,1,3.7%,All Trent Sherfield red zone receiving plays,SherTr00
Ben Sims,GNB,2,2,100.00%,7,1,2.2%,1,1,100.00%,1,1,2.7%,All Ben Sims red zone receiving plays,SimsBe00
Stone Smartt,LAC,2,0,0.00%,0,0,2.7%,2,0,0.00%,0,0,4.5%,All Stone Smartt red zone receiving plays,SmarSt00
JuJu Smith-Schuster,NWE,2,2,100.00%,14,1,5.6%,1,1,100.00%,3,1,7.7%,All JuJu Smith-Schuster red zone receiving plays,SmitJu00
Jack Stoll,PHI,2,1,50.00%,14,0,4.1%,0,0,,0,0,.0%,All Jack Stoll red zone receiving plays,StolJa00
Geoff Swaim,ARI,2,2,100.00%,18,0,3.4%,0,0,,0,0,.0%,All Geoff Swaim red zone receiving plays,SwaiGe00
Robert Tonyan,CHI,2,1,50.00%,10,0,3.6%,0,0,,0,0,.0%,All Robert Tonyan red zone receiving plays,TonyRo00
Samori Toure,GNB,2,1,50.00%,-6,0,2.2%,0,0,,0,0,.0%,All Samori Toure red zone receiving plays,TourSa00
Mitchell Wilcox,CIN,2,1,50.00%,10,0,2.7%,1,0,0.00%,0,0,2.7%,All Mitchell Wilcox red zone receiving plays,WilcMi01
Jameson Williams,DET,2,2,100.00%,21,0,3.1%,0,0,,0,0,.0%,All Jameson Williams red zone receiving plays,WillJa11
Mike Williams,LAC,2,0,0.00%,0,0,2.7%,2,0,0.00%,0,0,4.5%,All Mike Williams red zone receiving plays,WillMi07
Blake Bell,KAN,1,1,100.00%,4,1,1.1%,1,1,100.00%,4,1,2.1%,All Blake Bell red zone receiving plays,BellBl00
Braxton Berrios,MIA,1,1,100.00%,11,1,1.5%,0,0,,0,0,.0%,All Braxton Berrios red zone receiving plays,BerrBr00
Khari Blasingame,CHI,1,1,100.00%,4,0,1.8%,0,0,,0,0,.0%,All Khari Blasingame red zone receiving plays,BlasKh00
Kayshon Boutte,NWE,1,0,0.00%,0,0,2.8%,0,0,,0,0,.0%,All Kayshon Boutte red zone receiving plays,BoutKa00
Chase Brown,CIN,1,1,100.00%,8,0,1.4%,0,0,,0,0,.0%,All Chase Brown red zone receiving plays,BrowCh10
Treylon Burks,TEN,1,1,100.00%,1,0,2.1%,0,0,,0,0,.0%,All Treylon Burks red zone receiving plays,BurkTr00
Michael Burton,DEN,1,1,100.00%,4,0,1.5%,1,1,100.00%,4,0,2.9%,All Michael Burton red zone receiving plays,BurtMi00
Grant Calcaterra,PHI,1,1,100.00%,9,0,2.0%,0,0,,0,0,.0%,All Grant Calcaterra red zone receiving plays,CalcGr00
DeAndre Carter,LVR,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.9%,All DeAndre Carter red zone receiving plays,CartDe02
Zach Charbonnet,SEA,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Zach Charbonnet red zone receiving plays,CharZa00
Chase Claypool,CHI,1,0,0.00%,0,0,1.8%,0,0,,0,0,.0%,All Chase Claypool red zone receiving plays,ClayCh01
Chris Conley,SFO,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,3.8%,All Chris Conley red zone receiving plays,ConlCh00
Elijah Cooks,JAX,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All Elijah Cooks red zone receiving plays,CookEl00
Britain Covey,PHI,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Britain Covey red zone receiving plays,CoveBr00
Jamison Crowder,WAS,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All Jamison Crowder red zone receiving plays,CrowJa00
Derius Davis,LAC,1,1,100.00%,-3,0,1.4%,1,1,100.00%,-3,0,2.3%,All Derius Davis red zone receiving plays,DaviDe02
Emari Demercado,ARI,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.8%,All Emari Demercado red zone receiving plays,DemeEm00
AJ Dillon,GNB,1,1,100.00%,1,0,1.1%,0,0,,0,0,.0%,All AJ Dillon red zone receiving plays,DillAJ00
J.K. Dobbins,BAL,1,1,100.00%,5,0,1.6%,1,1,100.00%,5,0,3.2%,All J.K. Dobbins red zone receiving plays,DobbJK00
Payne Durham,TAM,1,1,100.00%,12,0,1.7%,0,0,,0,0,.0%,All Payne Durham red zone receiving plays,DurhPa00
Devin Duvernay,BAL,1,1,100.00%,3,0,1.6%,0,0,,0,0,.0%,All Devin Duvernay red zone receiving plays,DuveDe00
Ross Dwelley,SFO,1,1,100.00%,12,0,1.4%,0,0,,0,0,.0%,All Ross Dwelley red zone receiving plays,DwelRo00
Luke Farrell,JAX,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,3.3%,All Luke Farrell red zone receiving plays,FarrLu00
Simi Fehoko,LAC,1,1,100.00%,9,1,1.4%,1,1,100.00%,9,1,2.3%,All Simi Fehoko red zone receiving plays,FehoSi00
Kevin Harris,NWE,1,1,100.00%,4,0,2.8%,0,0,,0,0,.0%,All Kevin Harris red zone receiving plays,HarrKe01
Justice Hill,BAL,1,1,100.00%,2,0,1.6%,0,0,,0,0,.0%,All Justice Hill red zone receiving plays,HillJu00
Julian Hill,MIA,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.3%,All Julian Hill red zone receiving plays,HillJu02
Brycen Hopkins,LAR,1,1,100.00%,5,0,1.4%,0,0,,0,0,.0%,All Brycen Hopkins red zone receiving plays,HopkBr01
Sam Howell,WAS,1,1,100.00%,4,0,1.6%,1,1,100.00%,4,0,2.9%,All Sam Howell red zone receiving plays,HoweSa00
Chuba Hubbard,CAR,1,0,0.00%,0,0,2.8%,0,0,,0,0,.0%,All Chuba Hubbard red zone receiving plays,HubbCh01
Kareem Hunt,CLE,1,1,100.00%,3,0,1.6%,0,0,,0,0,.0%,All Kareem Hunt red zone receiving plays,HuntKa00
Xavier Hutchinson,HOU,1,1,100.00%,0,0,1.5%,1,1,100.00%,0,0,2.8%,All Xavier Hutchinson red zone receiving plays,HutcXa00
Richie James,KAN,1,1,100.00%,4,0,1.1%,0,0,,0,0,.0%,All Richie James red zone receiving plays,JameRi00
Van Jefferson,ATL,1,1,100.00%,6,0,1.9%,0,0,,0,0,.0%,All Van Jefferson red zone receiving plays,JeffVa00
Tyler Johnson,LAR,1,1,100.00%,8,1,1.4%,1,1,100.00%,8,1,2.4%,All Tyler Johnson red zone receiving plays,JohnTy00
Tony Jones,NOR,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,3.0%,All Tony Jones red zone receiving plays,JoneTo04
Joshua Kelley,LAC,1,1,100.00%,0,0,1.4%,0,0,,0,0,.0%,All Joshua Kelley red zone receiving plays,KellJo01
Will Mallory,IND,1,0,0.00%,0,0,1.7%,0,0,,0,0,.0%,All Will Mallory red zone receiving plays,MallWi00
Chris Manhertz,DEN,1,0,0.00%,0,0,1.5%,0,0,,0,0,.0%,All Chris Manhertz red zone receiving plays,ManhCh00
Ray-Ray McCloud,SFO,1,1,100.00%,8,0,1.4%,0,0,,0,0,.0%,All Ray-Ray McCloud red zone receiving plays,McClRa00
Sean McKeon,DAL,1,0,0.00%,0,0,1.0%,1,0,0.00%,0,0,2.0%,All Sean McKeon red zone receiving plays,McKeSe01
Jordan Mims,NOR,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,3.0%,All Jordan Mims red zone receiving plays,MimsJo00
Marvin Mims,DEN,1,1,100.00%,4,0,1.5%,1,1,100.00%,4,0,2.9%,All Marvin Mims red zone receiving plays,MimsMa00
Elijah Mitchell,SFO,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,3.8%,All Elijah Mitchell red zone receiving plays,MitcEl00
Keaton Mitchell,BAL,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All Keaton Mitchell red zone receiving plays,MitcKe01
Ty Montgomery,NWE,1,1,100.00%,9,0,2.8%,0,0,,0,0,.0%,All Ty Montgomery red zone receiving plays,MontTy01
Chris Moore,TEN,1,1,100.00%,6,0,2.1%,0,0,,0,0,.0%,All Chris Moore red zone receiving plays,MoorCh00
Donovan Peoples-Jones,DET,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.9%,All Donovan Peoples-Jones red zone receiving plays,PeopDo00
Kyle Philips,TEN,1,0,0.00%,0,0,2.1%,1,0,0.00%,0,0,4.3%,All Kyle Philips red zone receiving plays,PhilKy01
Dameon Pierce,HOU,1,1,100.00%,9,0,1.5%,0,0,,0,0,.0%,All Dameon Pierce red zone receiving plays,PierDa01
Kevin Rader,TEN,1,1,100.00%,6,0,2.1%,1,1,100.00%,6,0,4.3%,All Kevin Rader red zone receiving plays,RadeKe00
Jalen Reagor,NWE,1,0,0.00%,0,0,2.8%,1,0,0.00%,0,0,7.7%,All Jalen Reagor red zone receiving plays,ReagJa00
Justyn Ross,KAN,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.1%,All Justyn Ross red zone receiving plays,RossJu00
Jeffery Simmons,TEN,1,1,100.00%,2,1,2.1%,1,1,100.00%,2,1,4.3%,All Jeffery Simmons red zone receiving plays,SimmJe01
Ben Skowronek,LAR,1,0,0.00%,0,0,1.4%,1,0,0.00%,0,0,2.4%,All Ben Skowronek red zone receiving plays,SkowBe00
Keith Smith,ATL,1,1,100.00%,-1,0,1.9%,1,1,100.00%,-1,0,3.6%,All Keith Smith red zone receiving plays,SmitKe03
Willie Snead,SFO,1,1,100.00%,5,0,1.4%,0,0,,0,0,.0%,All Willie Snead red zone receiving plays,SneaWi00
Isaiah Spiller,LAC,1,1,100.00%,10,0,1.4%,0,0,,0,0,.0%,All Isaiah Spiller red zone receiving plays,SpilIs00
Ian Thomas,CAR,1,0,0.00%,0,0,2.8%,1,0,0.00%,0,0,4.5%,All Ian Thomas red zone receiving plays,ThomIa00
Ke'Shawn Vaughn,TAM,1,0,0.00%,0,0,1.7%,0,0,,0,0,.0%,All Ke'Shawn Vaughn red zone receiving plays,VaugKe00
Darnell Washington,PIT,1,0,0.00%,0,0,2.4%,1,0,0.00%,0,0,5.6%,All Darnell Washington red zone receiving plays,WashDa03
Zamir White,LVR,1,1,100.00%,5,0,1.4%,1,1,100.00%,5,0,2.9%,All Zamir White red zone receiving plays,WhitZa01
Jamaal Williams,NOR,1,1,100.00%,3,0,1.5%,0,0,,0,0,.0%,All Jamaal Williams red zone receiving plays,WillJa06
Trayveon Williams,CIN,1,1,100.00%,3,0,1.4%,0,0,,0,0,.0%,All Trayveon Williams red zone receiving plays,WillTr06
Jeff Wilson,MIA,1,0,0.00%,0,0,1.5%,1,0,0.00%,0,0,2.3%,All Jeff Wilson red zone receiving plays,WilsJe01
Charlie Woerner,SFO,1,1,100.00%,3,0,1.4%,0,0,,0,0,.0%,All Charlie Woerner red zone receiving plays,WoerCh00
Brock Wright,DET,1,1,100.00%,2,0,1.5%,1,1,100.00%,2,0,2.9%,All Brock Wright red zone receiving plays,WrigBr01
