,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Keenan Allen,LAC,12,7,58.33%,46,5,16.4%,11,6,54.55%,34,4,25.0%,All Keenan Allen red zone receiving plays,AlleKe00
Brandin Cooks,DAL,12,7,58.33%,48,6,11.5%,9,6,66.67%,40,6,17.6%,All Brandin Cooks red zone receiving plays,CookBr00
George Kittle,SFO,12,8,66.67%,59,3,17.1%,4,3,75.00%,18,2,15.4%,All George Kittle red zone receiving plays,KittGe00
Tyler Lockett,SEA,12,6,50.00%,49,4,18.5%,5,3,60.00%,14,3,20.8%,All Tyler Lockett red zone receiving plays,LockTy00
Tony Pollard,DAL,12,11,91.67%,41,0,11.5%,2,1,50.00%,3,0,3.9%,All Tony Pollard red zone receiving plays,PollTo00
Kyren Williams,LAR,12,5,41.67%,22,3,16.4%,4,4,100.00%,7,2,9.8%,All Kyren Williams red zone receiving plays,WillKy02
Odell Beckham,BAL,11,5,45.45%,30,1,17.2%,7,2,28.57%,15,1,22.6%,All Odell Beckham red zone receiving plays,BeckOd00
Gabriel Davis,BUF,11,6,54.55%,64,5,17.7%,5,3,60.00%,13,3,18.5%,All Gabriel Davis red zone receiving plays,DaviGa01
Jahan Dotson,WAS,11,5,45.45%,32,2,17.2%,7,2,28.57%,18,2,20.0%,All Jahan Dotson red zone receiving plays,DotsJa00
Justin Jefferson,MIN,11,4,36.36%,25,1,13.9%,7,1,14.29%,4,1,14.9%,All Justin Jefferson red zone receiving plays,JeffJu00
Alexander Mattison,MIN,11,5,45.45%,26,3,13.9%,6,3,50.00%,15,3,12.8%,All Alexander Mattison red zone receiving plays,MattAl01
Trey McBride,ARI,11,7,63.64%,50,3,19.0%,7,3,42.86%,16,2,26.9%,All Trey McBride red zone receiving plays,McBrTr01
D.J. Moore,CHI,11,7,63.64%,39,3,19.6%,7,4,57.14%,16,2,26.9%,All D.J. Moore red zone receiving plays,MoorD.00
Chris Olave,NOR,11,7,63.64%,53,4,16.9%,6,3,50.00%,20,3,18.2%,All Chris Olave red zone receiving plays,OlavCh00
Gerald Everett,LAC,10,8,80.00%,35,3,13.7%,7,5,71.43%,22,3,15.9%,All Gerald Everett red zone receiving plays,EverGe00
Dallas Goedert,PHI,10,6,60.00%,46,3,20.4%,3,2,66.67%,15,2,17.6%,All Dallas Goedert red zone receiving plays,GoedDa00
T.J. Hockenson,MIN,10,7,70.00%,46,4,12.7%,7,4,57.14%,14,3,14.9%,All T.J. Hockenson red zone receiving plays,HockTJ00
Jerry Jeudy,DEN,10,7,70.00%,35,1,15.4%,5,2,40.00%,-5,0,14.3%,All Jerry Jeudy red zone receiving plays,JeudJe00
Diontae Johnson,PIT,10,5,50.00%,23,3,23.8%,4,3,75.00%,9,3,22.2%,All Diontae Johnson red zone receiving plays,JohnDi01
Aaron Jones,GNB,10,7,70.00%,11,0,11.1%,2,1,50.00%,5,0,5.4%,All Aaron Jones red zone receiving plays,JoneAa00
Zay Jones,JAX,10,5,50.00%,41,2,15.9%,5,2,40.00%,12,1,16.7%,All Zay Jones red zone receiving plays,JoneZa00
K.J. Osborn,MIN,10,3,30.00%,20,2,12.7%,6,3,50.00%,20,2,12.8%,All K.J. Osborn red zone receiving plays,OsboKJ00
Cade Otton,TAM,10,7,70.00%,51,4,16.9%,3,2,66.67%,7,2,10.3%,All Cade Otton red zone receiving plays,OttoCa00
Donald Parham,LAC,10,6,60.00%,35,4,13.7%,7,4,57.14%,10,3,15.9%,All Donald Parham red zone receiving plays,ParhDo00
Josh Reynolds,DET,10,4,40.00%,25,4,15.4%,6,3,50.00%,13,3,17.1%,All Josh Reynolds red zone receiving plays,ReynJo00
Bijan Robinson,ATL,10,6,60.00%,37,2,18.5%,6,2,33.33%,9,1,21.4%,All Bijan Robinson red zone receiving plays,RobiBi01
Jaxon Smith-Njigba,SEA,10,4,40.00%,37,2,15.4%,5,1,20.00%,9,1,20.8%,All Jaxon Smith-Njigba red zone receiving plays,SmitJa06
Robert Woods,HOU,10,3,30.00%,23,1,14.7%,4,1,25.00%,6,1,11.1%,All Robert Woods red zone receiving plays,WoodRo02
Brandon Aiyuk,SFO,9,6,66.67%,70,5,12.9%,4,2,50.00%,10,2,15.4%,All Brandon Aiyuk red zone receiving plays,AiyuBr00
Marquise Brown,ARI,9,5,55.56%,19,3,15.5%,4,3,75.00%,6,3,15.4%,All Marquise Brown red zone receiving plays,BrowMa04
Tyler Conklin,NYJ,9,4,44.44%,18,0,18.4%,8,4,50.00%,18,0,25.8%,All Tyler Conklin red zone receiving plays,ConkTy00
Josh Downs,IND,9,4,44.44%,29,1,15.3%,5,2,40.00%,5,1,20.0%,All Josh Downs red zone receiving plays,DownJo00
Austin Ekeler,LAC,9,6,66.67%,12,0,12.3%,2,1,50.00%,2,0,4.5%,All Austin Ekeler red zone receiving plays,EkelAu00
Evan Engram,JAX,9,6,66.67%,33,3,14.3%,4,2,50.00%,12,2,13.3%,All Evan Engram red zone receiving plays,EngrEv00
Tee Higgins,CIN,9,4,44.44%,32,3,12.2%,4,2,50.00%,7,2,10.8%,All Tee Higgins red zone receiving plays,HiggTe00
Dalton Kincaid,BUF,9,5,55.56%,27,0,14.5%,4,2,50.00%,7,0,14.8%,All Dalton Kincaid red zone receiving plays,KincDa00
Josh Palmer,LAC,9,3,33.33%,15,0,12.3%,5,1,20.00%,3,0,11.4%,All Josh Palmer red zone receiving plays,PalmJo00
Demarcus Robinson,LAR,9,4,44.44%,17,3,12.3%,7,4,57.14%,17,3,17.1%,All Demarcus Robinson red zone receiving plays,RobiDe01
Jonnu Smith,ATL,9,6,66.67%,46,2,16.7%,5,3,60.00%,9,1,17.9%,All Jonnu Smith red zone receiving plays,SmitJo01
Logan Thomas,WAS,9,4,44.44%,28,4,14.1%,6,3,50.00%,13,3,17.1%,All Logan Thomas red zone receiving plays,ThomLo00
